"ID","country_id","country_abbr","country_name"
"1","1201.0","ALB","Albania"
"2","1202.0","AUT","Austria"
"3","1203.0","BEL","Belgium"
"4","1204.0","CRO","Croatia"
"5","1205.0","CZE","Czech Republic"
"6","1206.0","ENG","England"
"7","1207.0","FRA","France"
"8","1208.0","GER","Germany"
"9","1209.0","HUN","Hungary"
"10","1210.0","ISL","Iceland"
"11","1211.0","ITA","Italy"
"12","1212.0","NIR","Northern Ireland"
"13","1213.0","POL","Poland"
"14","1214.0","POR","Portugal"
"15","1215.0","IRL","Republic of Ireland"
"16","1216.0","ROU","Romania"
"17","1217.0","RUS","Russia"
"18","1218.0","SVK","Slovakia"
"19","1219.0","ESP","Spain"
"20","1220.0","SWE","Sweden"
"21","1221.0","SUI","Switzerland"
"22","1222.0","TUR","Turkey"
"23","1223.0","UKR","Ukraine"
"24","1224.0","WAL","Wales"
"25","1225.0","SLO","Slovenia"
"26","1226.0","NED","Netherlands"
"27","1227.0","SRB","Serbia"
"28","1228.0","SCO","Scotland"
"29","1229.0","NOR","Norway"
