player_id,team_id,jersey_no,player_name,posi_to_play,dt_of_bir,age,playing_club,country_id
160001,1201,1,Etrit Berisha,GK,3/10/1989 0:00,27,Lazio,1201
160008,1201,2,Andi Lila,DF,2/12/1986 0:00,30,Giannina,1202
160016,1201,3,Ermir Lenjani,MF,8/5/1989 0:00,26,Nantes,1203
160007,1201,4,Elseid Hysaj,DF,2/20/1994 0:00,22,Napoli,1204
160013,1201,5,Lorik Cana,MF,7/27/1983 0:00,32,Nantes,1205
160010,1201,6,Frederic Veseli,DF,11/20/1992 0:00,23,Lugano,1206
160004,1201,7,Ansi Agolli,DF,10/11/1982 0:00,33,Qarabag,1207
160012,1201,8,Migjen Basha,MF,1/5/1987 0:00,29,Como,1208
160017,1201,9,Ledian Memushaj,MF,12/17/1986 0:00,29,Pescara,1209
160023,1201,10,Armando Sadiku,FD,5/27/1991 0:00,25,Vaduz,1210
160022,1201,11,Shkelzen Gashi,FD,7/15/1988 0:00,27,Colorado,1211
160003,1201,12,Orges Shehi,GK,9/25/1977 0:00,38,Skenderbeu,1212
160015,1201,13,Burim Kukeli,MF,1/16/1984 0:00,32,Zurich,1213
160019,1201,14,Taulant Xhaka,MF,3/28/1991 0:00,25,Basel,1214
160009,1201,15,Mergim Mavraj,DF,6/9/1986 0:00,30,Koln,1215
160021,1201,16,Sokol Cikalleshi,FD,7/27/1990 0:00,25,Istanbul Basaksehir,1216
160006,1201,17,Naser Aliji,DF,12/27/1993 0:00,22,Basel,1217
160005,1201,18,Arlind Ajeti,DF,9/25/1993 0:00,22,Frosinone,1218
160020,1201,19,Bekim Balaj,FD,1/11/1991 0:00,25,Rijeka,1219
160014,1201,20,Ergys Kace,MF,7/8/1993 0:00,22,PAOK,1220
160018,1201,21,Odise Roshi,MF,5/22/1991 0:00,25,Rijeka,1221
160011,1201,22,Amir Abrashi,MF,3/27/1990 0:00,26,Freiburg,1222
160002,1201,23,Alban Hoxha,GK,11/23/1987 0:00,28,Partizani,1223
160024,1202,1,Robert Almer,GK,3/20/1984 0:00,32,Austria Wien,1224
160036,1202,2,Gyorgy Garics,MF,3/8/1984 0:00,32,Darmstadt,1225
160027,1202,3,Aleksandar Dragovic,DF,3/6/1991 0:00,25,Dynamo Kyiv,1226
160029,1202,4,Martin Hinteregger,DF,9/7/1992 0:00,23,Monchengladbach,1227
160028,1202,5,Christian Fuchs,DF,4/7/1986 0:00,30,Leicester,1228
160038,1202,6,Stefan Ilsanker,MF,5/18/1989 0:00,27,Leipzig,1229
160043,1202,7,Marko Arnautovic,FD,4/19/1989 0:00,27,Stoke,1201
160034,1202,8,David Alaba,MF,6/24/1992 0:00,23,Bayern,1202
160046,1202,9,Rubin Okotie,FD,6/6/1987 0:00,29,1860 Munchen,1203
160040,1202,10,Zlatko Junuzovic,MF,9/26/1987 0:00,28,Bremen,1204
160037,1202,11,Martin Harnik,MF,6/10/1987 0:00,29,Stuttgart,1205
160025,1202,12,Heinz Lindner,GK,7/17/1990 0:00,25,Frankfurt,1206
160032,1202,13,Markus Suttner,DF,4/16/1987 0:00,29,Ingolstadt,1207
160035,1202,14,Julian Baumgartlinger,MF,1/2/1988 0:00,28,Mainz,1208
160031,1202,15,Sebastian Prodl,DF,6/21/1987 0:00,28,Watford,1209
160033,1202,16,Kevin Wimmer,DF,11/15/1992 0:00,23,Tottenham,1210
160030,1202,17,Florian Klein,DF,11/17/1986 0:00,29,Stuttgart,1211
160042,1202,18,Alessandro Schopf,MF,2/7/1994 0:00,22,Schalke,1212
160044,1202,19,Lukas Hinterseer,FD,3/28/1991 0:00,25,Ingolstadt,1213
160041,1202,20,Marcel Sabitzer,MF,3/17/1994 0:00,22,Leipzig,1214
160045,1202,21,Marc Janko,FD,6/25/1983 0:00,32,Basel,1215
160039,1202,22,Jakob Jantscher,MF,1/8/1989 0:00,27,Luzern,1216
160026,1202,23,Ramazan Ozcan,GK,6/28/1984 0:00,31,Ingolstadt,1217
160047,1203,1,Thibaut Courtois,GK,5/11/1992 0:00,24,Chelsea,1218
160050,1203,2,Toby Alderweireld,DF,3/2/1989 0:00,27,Tottenham,1219
160056,1203,3,Thomas Vermaelen,DF,11/14/1985 0:00,30,Barcelona,1220
160063,1203,4,Radja Nainggolan,MF,5/4/1988 0:00,28,Roma,1221
160057,1203,5,Jan Vertonghen,DF,4/24/1987 0:00,29,Tottenham,1222
160064,1203,6,Axel Witsel,MF,1/12/1989 0:00,27,Zenit,1223
160059,1203,7,Kevin De Bruyne,MF,6/28/1991 0:00,24,Man. City,1224
160061,1203,8,Marouane Fellaini,MF,11/22/1987 0:00,28,Man. United,1225
160067,1203,9,Romelu Lukaku,FD,5/13/1993 0:00,23,Everton,1226
160062,1203,10,Eden Hazard,MF,1/7/1991 0:00,25,Chelsea,1227
160058,1203,11,Yannick Carrasco,MF,9/4/1993 0:00,22,Atletico,1228
160049,1203,12,Simon Mignolet,GK,8/6/1988 0:00,27,Liverpool,1229
160048,1203,13,Jean-Francois Gillet,GK,5/31/1979 0:00,37,Mechelen,1201
160068,1203,14,Dries Mertens,FD,5/6/1987 0:00,29,Napoli,1202
160052,1203,15,Jason Denayer,DF,6/28/1995 0:00,20,Galatasaray,1203
160055,1203,16,Thomas Meunier,DF,9/12/1991 0:00,24,Club Brugge,1204
160069,1203,17,Divock Origi,FD,4/18/1995 0:00,21,Liverpool,1205
160053,1203,18,Christian Kabasele,DF,2/24/1991 0:00,25,Genk,1206
160060,1203,19,Mousa Dembele,MF,7/16/1987 0:00,28,Tottenham,1207
160066,1203,20,Christian Benteke,FD,12/3/1990 0:00,25,Liverpool,1208
160054,1203,21,Jordan Lukaku,DF,7/25/1994 0:00,21,Oostende,1209
160065,1203,22,Michy Batshuayi,FD,10/2/1993 0:00,22,Marseille,1210
160051,1203,23,Laurent Ciman,DF,8/5/1985 0:00,30,Montreal,1211
160072,1204,1,Ivan Vargic,GK,3/15/1987 0:00,29,Rijeka,1212
160079,1204,2,Sime Vrsaljko,DF,1/10/1992 0:00,24,Sassuolo,1213
160077,1204,3,Ivan Strinic,DF,7/17/1987 0:00,28,Napoli,1214
160085,1204,4,Ivan PeriSic,MF,2/2/1989 0:00,27,Internazionale,1215
160073,1204,5,Vedran Corluka,DF,2/5/1986 0:00,30,Lokomotiv Moskva,1216
160074,1204,6,Tin Jedvaj,DF,11/28/1995 0:00,20,Leverkusen,1217
160086,1204,7,Ivan Rakitic,MF,3/10/1988 0:00,28,Barcelona,1218
160083,1204,8,Mateo Kovacic,MF,5/6/1994 0:00,22,Real Madrid,1219
160090,1204,9,Andrej Kramaric,FD,6/19/1991 0:00,24,Hoffenheim,1220
160084,1204,10,Luka Modric,MF,9/9/1985 0:00,30,Real Madrid,1221
160076,1204,11,Darijo Srna,DF,5/1/1982 0:00,34,Shakhtar Donetsk,1222
160070,1204,12,Lovre Kalinic,GK,4/3/1990 0:00,26,Hajduk Split,1223
160075,1204,13,Gordon Schildenfeld,DF,3/18/1985 0:00,31,Dinamo Zagreb,1224
160081,1204,14,Marcelo Brozovic,MF,11/16/1992 0:00,23,Internazionale,1225
160087,1204,15,Marko Rog,MF,7/19/1995 0:00,20,Dinamo Zagreb,1226
160089,1204,16,Nikola Kalinic,FD,1/5/1988 0:00,28,Fiorentina,1227
160091,1204,17,Mario Mandzukic,FD,5/21/1986 0:00,30,Juventus,1228
160082,1204,18,Ante Coric,MF,4/14/1997 0:00,19,Dinamo Zagreb,1229
160080,1204,19,Milan Badelj,MF,2/25/1989 0:00,27,Fiorentina,1201
160092,1204,20,Marko Pjaca,FD,5/6/1995 0:00,21,Dinamo Zagreb,1202
160078,1204,21,Domagoj Vida,DF,4/29/1989 0:00,27,Dynamo Kyiv,1203
